,RMSE,Std.Dev.,Squared-Bias,Std.Dev.,Variance,Std.Dev.
fa(X),0.17773,0.00663,0.04918,0.00325,0.00000,0.00000
ga(X)-lin,0.21314,0.00724,0.05345,0.00444,0.01297,0.00036
ba(X)-lin,0.14006,0.00485,0.01888,0.00192,0.01015,0.00039
ha(X)-lin,0.11758,0.00312,0.00656,0.00094,0.01116,0.00054
ga(X)-poly,0.33733,0.02708,0.00952,0.00108,0.39763,0.06447
ba(X)-poly,0.27966,0.02554,0.00605,0.00092,0.33314,0.06357
ha(X)-poly,0.28134,0.01660,0.00195,0.00020,0.18737,0.02192
