,RMSE,Std.Dev.,Squared-Bias,Std.Dev.,Variance,Std.Dev.
fa(X),0.32803,0.01694,0.22237,0.02448,0.00000,0.00000
ga(X)-lin,0.11517,0.00245,0.00444,0.00033,0.01123,0.00055
ba(X)-lin,0.10955,0.00295,0.00440,0.00049,0.01108,0.00056
ha(X)-lin,0.11040,0.00288,0.00271,0.00034,0.01279,0.00067
ga(X)-poly,0.20995,0.01513,0.00486,0.00074,0.13072,0.02283
ba(X)-poly,0.20982,0.01512,0.00487,0.00074,0.13062,0.02283
ha(X)-poly,0.48375,0.06432,0.01895,0.00361,1.87000,0.39487
